doi,publisher,open_access,title
10.1016/j.scitotenv.2024.172816,Elsevier,False,Recent progression in MXene-based catalysts for emerging photocatalytic applications of CO2 reduction and H2 production: A review
10.1016/j.snb.2024.135701,Elsevier,False,Polycrystalline hollow MOF derived Co3O4 semiconductor to achieve room-temperature ammonia detection in human exhaled breath
