doi,publisher,pdf_url,open_access,title
10.1109/iitc/mam57687.2023.10154801,Institute of Electrical and Electronics Engineers,,False,Area-Selective Atomic Layer Deposition of Ruthenium Thin Films by Chemo-Selective Adsorption of Short Alkylating Agents
10.1109/iitc/mam57687.2023.10154817,Institute of Electrical and Electronics Engineers,,False,Area-Selective Atomic Layer Deposition of Ruthenium Thin Films Using Aldehyde Inhibitors
