doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1016/j.envint.2019.02.030,In suit inducing electron-donating and electron-withdrawing groups in carbon nitride by one-step NH4Cl-assisted route: A strategy for high solar hydrogen production efficiency,Elsevier BV,2019,115,,True,Pending
10.1038/s41928-023-01013-y,Optogenetic stimulation probes with single-neuron resolution based on organic LEDs monolithically integrated on CMOS,Nature Portfolio,2023,49,https://www.nature.com/articles/s41928-023-01013-y.pdf,True,Pending
10.1021/ja210755h,Water Oxidation at Hematite Photoelectrodes: The Role of Surface States,American Chemical Society,2012,1014,,True,Pending
10.1116/6.0000912,Atomic layer deposition and selective etching of ruthenium for area-selective deposition: Temperature dependence and supercycle design,American Institute of Physics,2021,16,https://avs.scitation.org/doi/pdf/10.1116/6.0000912,True,Pending
10.1039/d5tc01969a,Functionalization of Si <sub>3</sub> N <sub>4</sub> with an aldehyde inhibitor for area selective deposition of HfO <sub>2</sub> and SiO <sub>2</sub>,Royal Society of Chemistry,2025,1,,False,Pending
10.1016/j.snb.2018.09.095,Room temperature toluene gas sensor based on TiO2 nanoparticles decorated 3D graphene-carbon nanotube nanostructures,Elsevier BV,2018,210,,False,Pending
10.1016/j.apcatb.2023.122419,Rational design of defect metal oxide/covalent organic frameworks Z-scheme heterojunction for photoreduction CO2 to CO,Elsevier BV,2023,74,,False,Pending
10.1117/1.jmm.21.4.041407,Compatibility between polymethacrylate-based extreme ultraviolet resists and TiO2 area-selective deposition,Journal of Micro/Nanopatterning Materials and Metrology,2022,3,,True,Pending
10.1002/aesr.202000073,Functionalized Graphitic Carbon Nitrides for Environmental and Sensing Applications,Wiley,2021,80,,True,Pending
10.1063/1.4821858,Depletion-mode Ga2O3 metal-oxide-semiconductor field-effect transistors on β-Ga2O3 (010) substrates and temperature dependence of their device characteristics,American Institute of Physics,2013,692,,False,Pending
10.1016/j.jcis.2022.04.053,Synergetic metal-semiconductor interaction: Single-atomic Pt decorated CdS nano-photocatalyst for highly water-to-hydrogen conversion,Elsevier BV,2022,45,,False,Pending
10.1002/sus2.76,Surface decorated Ni sites for superior photocatalytic hydrogen production,Wiley,2022,104,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sus2.76,True,Pending
10.1021/nn800353q,"ZnO-Based Hollow Nanoparticles by Selective Etching: Elimination and Reconstruction of Metal−Semiconductor Interface, Improvement of Blue Emission and Photocatalysis",American Chemical Society,2008,544,,False,Pending
10.1038/s41467-018-08169-8,Control of MXenes’ electronic properties through termination and intercalation,Nature Portfolio,2019,1198,https://www.nature.com/articles/s41467-018-08169-8.pdf,True,Pending
10.1021/acs.analchem.4c02179,Self-Assembled Perylene Diimide (PDI) Nanowire Sensitized In<sub>2</sub>O<sub>3</sub>@MgIn<sub>2</sub>S<sub>4</sub> S-Scheme Heterojunction as Photoelectrochemical Biosensing Platform for the Detection of CA15–3,American Chemical Society,2024,31,,False,Pending
10.1039/d2tc00577h,Rapid area deactivation for blocking atomic layer deposition processes using polystyrene brush layers,Royal Society of Chemistry,2022,2,https://pubs.rsc.org/en/content/articlepdf/2022/tc/d2tc00577h,True,Pending
10.1021/acs.chemmater.9b01143,Integrated Isothermal Atomic Layer Deposition/Atomic Layer Etching Supercycles for Area-Selective Deposition of TiO<sub>2</sub>,American Chemical Society,2019,82,,False,Pending
10.1021/acsanm.1c03112,Titanium Carbide MXene Nanostructures as Catalysts and Cocatalysts for Photocatalytic Fuel Production: A Review,American Chemical Society,2022,73,,False,Pending
10.1021/acs.chemmater.3c01185,Area-Selective Etching of Poly(methyl methacrylate) Films by Catalytic Decomposition,American Chemical Society,2023,4,,True,Pending
10.1002/admt.202301820,Selectivity and Growth Rate Modulations for Ruthenium Area‐selective Deposition by Co‐Reagent and Nanopattern Design,Wiley,2024,6,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301820,True,Pending
10.1021/acs.chemmater.8b04926,"Area-Selective Atomic Layer Deposition Assisted by Self-Assembled Monolayers: A Comparison of Cu, Co, W, and Ru",American Chemical Society,2019,181,,False,Pending
10.1021/ar500215v,"Solution Synthesis, Optical Properties, and Bioimaging Applications of Silicon Nanocrystals",American Chemical Society,2014,207,,False,Pending
10.1063/1.2773759,Effective electrical passivation of Ge(100) for high-k gate dielectric layers using germanium oxide,American Institute of Physics,2007,269,,False,Pending
10.1016/j.bios.2024.116433,Controllable ion design in flexible metal organic framework film for performance regulation of electrochemical biosensing,Elsevier BV,2024,7,,False,Pending
10.1021/jacs.3c12630,Tuning Energy Transfer Pathways in Halide Perovskite–Dye Hybrids through Bandgap Engineering,American Chemical Society,2024,43,,True,Pending
10.1002/anie.201105028,Facet‐Mediated Photodegradation of Organic Dye over Hematite Architectures by Visible Light,Wiley,2011,290,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201105028,True,Pending
10.1146/annurev.bioeng.9.060906.152025,Nanotechnology Applications in Cancer,Annual Reviews,2007,1105,,False,Pending
10.1016/j.surfcoat.2016.02.046,Photochemical atomic layer deposition and etching,Elsevier BV,2016,37,,True,Pending
10.1063/1.1785864,Area-selective formation of Si nanocrystals by assisted ion-beam irradiation during dual-ion-beam deposition,American Institute of Physics,2004,3,,False,Pending
10.4139/sfj.60.208,Metallization of Oxide/Hydroxide Film of Aluminum: the Palladium Activation Techniques,The Surface Finishing Society of Japan,2009,1,https://www.jstage.jst.go.jp/article/sfj/60/3/60_3_208/_pdf,True,Pending
10.1007/s12274-022-4149-1,High-fidelity transfer of area-selective atomic layer deposition grown HfO2 through DNA origami-assisted nanolithography,Springer Science+Business Media,2022,5,,False,Pending
10.1021/acs.chemmater.4c02557,Accurately Computed Dimerization Trends of ALD Precursors and Their Impact on Surface Reactivity in Area-Selective Atomic Layer Deposition,American Chemical Society,2025,10,,True,Pending
10.1021/acs.chemmater.8b00017,"Area-Selective Atomic Layer Deposition of TiN, TiO<sub>2</sub>, and HfO<sub>2</sub> on Silicon Nitride with inhibition on Amorphous Carbon",American Chemical Society,2018,78,,False,Pending
10.1016/j.heliyon.2020.e04568,Graphene oxide based coconut shell waste: synthesis by modified Hummers method and characterization,Elsevier BV,2020,173,http://www.cell.com/article/S2405844020314122/pdf,True,Pending
10.1038/s41586-019-1239-7,Lattice anchoring stabilizes solution-processed semiconductors,Nature Portfolio,2019,283,,False,Pending
10.1055/s-0043-1761309,Chemical and Topological Control of Surfaces Using Functional Parylene Coatings,Georg Thieme Verlag,2023,5,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0043-1761309.pdf,True,Pending
10.1002/anie.201611559,Oxide‐Nanotrap‐Anchored Platinum Nanoparticles with High Activity and Sintering Resistance by Area‐Selective Atomic Layer Deposition,Wiley,2017,90,,False,Pending
