doi,publisher,pdf_url,open_access,title
10.1103/physrevb.90.155405,,,False,Band alignment of semiconductors from density-functional theory and many-body perturbation theory
10.1103/physrevlett.109.096803,,,True,Giant Ambipolar Rashba Effect in the Semiconductor BiTeI
10.1364/oe.24.00a312,,,True,Luminescent colloidal carbon dots: optical properties and effects of doping [Invited]
10.1364/oe.17.018364,,,True,Deposition of carbon nanotubes around microfiber via evanascent light
