doi,publisher,pdf_url,open_access,title
10.1116/6.0002413,AIP,https://aip.scitation.org/doi/pdf/10.1116/6.0002413,False,
10.1063/5.0257779,AIP,https://aip.scitation.org/doi/pdf/10.1063/5.0257779,False,
10.1016/j.scitotenv.2024.172816,Elsevier,,False,
