doi,publisher,pdf_url,open_access
10.1016/j.scitotenv.2024.172816,Elsevier,,False
10.1063/5.0257779,AIP,https://aip.scitation.org/doi/pdf/10.1063/5.0257779,False
10.1109/JEDS.2023.3253137,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10061582,True
