doi,title,publisher
10.1116/6.0003838,Stochastic lattice model for atomic layer deposition and area-selective deposition of metal oxides: Visualization and analysis of lateral overgrowth during area-selective deposition,American Institute of Physics
10.1063/5.0207496,In situ formation of inhibitor species through catalytic surface reactions during area-selective atomic layer deposition of TaN,American Institute of Physics
